依	人	イ・エ	[外] よ.る	よる。よりかかる。もたれかかる。; よる。たよる。たよりにする。; よる。したがう。; そのまま。元もとのまま。以前いぜんのまま。	常 4級
侵	人	シン	おか.す [外] みにく.い	おかす。少すこしずつ入はいり込こむ。; おかす。攻せめ込こむ。; みにくい。みすぼらしい。容姿ようしがみにくい。背丈せたけが低ひくくみすぼらしい。	常 4級
促	人	ソク	うなが.す [外] せま.る	うながす。急いそがせる。急せき立たてる。; せまる。間あいだが縮ちぢまる。せわしい。	常 3級
俗	人	ゾク	[外] いや.しい・なら.わし	いやしい。下品げひん。程度ていどが低ひくい。; ならわし。ならい。習慣しゅうかん。; 世よの中なか。世間せけん。; 世間せけんの人ひと。一般いっぱんの人ひと。; なみ。ありふれた。	常 4級
倒	人	トウ	たお.す・たお.れる [外] こ.ける・さかさま	たおす。たおれる。例れい：打倒だとう; こける。転ころぶ。; さかさま。さかしま。さかさまにする。ひっくり返かえす。	常 4級
倣	人	ホウ	なら.う	ならう。見本みほんと同おなじようにする。まねる。	常 3級
倹	人	ケン	[外] つづま.やか・つま.しい	つづまやか。つましい。無駄むだづかいをせず質素しっそなさま。; へりくだる。行おこないが控ひかえめである。; まずしい。; 凶作きょうさく。不作ふさく。穀物こくもつが実みのらない。	常 3級
偉	人	イ	えら.い [外] すぐ.れる	えらい。すぐれる。すぐれている。立派りっぱ。; 大おおきい。大おおきくて立派りっぱ。さかんな。	常 4級
偶	人	グウ	[外] たぐい・たまたま・ひとがた	たぐい。対ついになる。つれあい。仲間なかま。; たまたま。思おもいがけず。; ひとがた。でく。木きや土つちで作つくった人ひとの形かたちをしたもの。; 二にで割わり切きれる。偶数ぐうすう。; あう。遭遇そうぐうする。	常 3級
傍	人	ボウ [外] ホウ	かたわ.ら [外] そ.う・そば・はた・わき	かたわら。そば。はた。わき。ほとり。; つくり。漢字かんじを構成こうせいする右側みぎがわの部分ぶぶん。; そう。近ちかづく。そばに寄よる。寄より添そう。	常 4級
催	人	サイ	もよお.す [外] うなが.す・もよ.い	もよおす。きざす。ひきおこす。; うながす。急せき立たてる。; もよい。名詞めいしの下したにつけて「今いまにもそうなりそう」などのきざしが見みえることを表あらわす。; もよおし。行事ぎょうじ。会合かいごう。	常 3級
債	人	サイ	[外] か.し・か.り	かし。かり。借金しゃっきんや貸金ちんぎん。未み精算せいさんの貸借たいしゃく関係かんけい。; 債券さいけんの略りゃく。	常 3級
傾	人	ケイ	かたむ.く・かたむ.ける [外] かし.ぐ・かた.げる・くつがえ.る	かたむく。かたむける。かしぐ。かたげる。かたよる。斜ななめになる。; 心こころをかたむける。集中しゅうちゅうする。; くつがえる。くつがえす。; 危あやうくする。危あやうくなる。	常 4級
僧	人	ソウ		仏道ぶつどうに入はいった人ひと。法師ほうし。僧侶そうりょ。	常 4級
儀	人	ギ	[外] のり・よ.い	のり。作法さほう。手本てほん。例れい：礼儀れいぎ; よい。正ただしい。; のっとる。手本てほんにする。; つれあい。夫婦ふうふ。; くる。きたる。; 測量そくりょう器械きかい。例れい：地球ちきゅう儀ぎ; ぎ。こと。ことがら。「～に関かんすること」の意い。	常 4級
克	儿	コク	[外] か.つ・よ.く	かつ。困難こんなんにうちかつ。争あらそいに勝かつ。; よく。十分じゅうぶんに。; よくする。物事ものごとの上手じょうずに行おこなう能力のうりょくがある。	常 3級
免	儿	メン [外] ブン・ベン	まぬか.れる [外] う.む・や.める・ゆる.す	まぬかれる。まぬがれる。のがれる。; うむ。子こどもを産うむ。＝娩; やめる。辞やめさせる。職しょくをとく。例れい：免職めんしょく; ゆるす。自由じゆうにさせる。罪つみを許ゆるす。例れい：免除めんじょ	常 3級
兼	八	ケン	か.ねる [外] あわ.せる	かねる。あわせる。複数ふくすうのものをあわせる。; かねて。あわせて。一緒いっしょに。; かねる。～しかねる。できない。できそうにない。「し兼かねる」のように、否定ひていの形かたちで用もちいる。; かねて。あらかじめ。前まえもって。	常 4級
冒	曰	ボウ [外] モウ・ボク・モク	おか.す [外] おお.う・ねた.む・むさぼ.る	おかす。無理むりにする。強引ごういんにする。; おおう。かぶせる。また、おおい。かぶりもの。; むさぼる。; ねたむ。ねたましく思おもう。; 「冒頓ぼくとつ」は、匈奴きょうどの単于ぜんうの名な。	常 4級
冗	冖	ジョウ	[外] むだ	むだ。あまる。余分よぶんな。不ふ必要ひつような。; みだれる。わずらわしい。だらだらとまとまりがない。	常 3級
冠	冖	カン	かんむり [外] かむ.る	かんむり。頭あたまにかぶるもの。; かむる。かぶる。かんむりをかぶる。; 成年せいねん。成人せいじんすること。昔むかし、二十歳にじっさいの成人せいじんの儀式ぎしきでかんむりをつけることによるもの。; 一番いちばんすぐれている。最上さいじょう。; かんむり。漢字かんじの部首ぶしゅ。漢字かんじの上側うえがわの部分ぶぶん。	常 3級
凍	冫	トウ	こお.る・こご.える [外] い.てる・し.みる	こおる。いてる。こおりつく。いてつく。; こごえる。しみる。寒気さむけが厳きびしい。	常 3級
凝	冫	ギョウ	こ.らす・こ.る [外] こご.る・しこ.り	こらす。かためる。集中しゅうちゅうする。集あつめる。; こる。こごる。かたまる。; とどまる。動うごかない。停滞ていたいする。; こる。筋肉きんにくがこり固かたまる。また、何なにかに集中しゅうちゅうしたり熱中ねっちゅうしたりする。; しこり。わだかまり。もやもやと残のこる気持きもち。	常 3級
凡	几	ボン・ハン	[外] およ.そ・すべ.て・なみ	およそ。おおよそ。おおかた。あらまし。; すべて。あらゆる。みな。; なみ。普通ふつう。一般的いっぱんてき。あたりまえ。	常 4級
凶	凵	キョウ	[外] おそ.れる・わざわ.い・わる.い	おそれる。こわがる。憂うれえる。; わざわい。わるい。縁起えんぎが悪わるい。不吉ふきつなこと。; わるい。心こころがわるい。邪悪じゃあくな。人ひとを傷きずつけるような。例れい：凶器きょうき; ききん。不作ふさく。作物さくもつが実みのらない。	常 4級
刈	刀	[外] カイ・ガイ	か.る	かる。草くさをかる。草くさをかりとる。; かま。草くさをかる刃物はもの。	常 4級
