揶揄	やゆ	揶揄<br>からかうこと。やや文語的表現であり、現代では世情を風刺する意味合いで多く用いられる。「揶」も「揄」も「からかう」の意。
幕府	ばくふ	幕府<br>[日本史] 中世から近世に於いて日本列島を支配した征夷大将軍（将軍）を頂点とする武士による統治機構。通常以下の3幕府を言い、特に、幕府としての大きな存在感を示したものは、江戸幕府であったため、江戸幕府のことを指すことが多い。<br>[俗語] 転じて、そのような強大な力を持った個人を揶揄する意味合いでも用いる。
